Date,Beijing,Shanghai,Guangzhou,Shenzhen,Xi'an,Chengdu,Chongqing,Wuhan,Tianjin,Nanjing
2024-02-01,5,12,22,23,10,15,18,16,3,8
2024-02-02,4,13,23,24,11,16,19,17,4,9
2024-02-03,3,14,24,25,12,17,20,18,5,10
2024-02-04,6,15,25,26,13,18,21,19,6,11
2024-02-05,7,16,26,27,14,19,22,20,7,12
2024-02-06,8,17,27,28,15,20,23,21,8,13
2024-02-07,9,18,28,29,16,21,24,22,9,14
2024-02-08,10,19,29,30,17,22,25,23,10,15
2024-02-09,11,20,30,31,18,23,26,24,11,16
2024-02-10,12,21,31,32,19,24,27,25,12,17
2024-02-11,13,22,32,33,20,25,28,26,13,18
2024-02-12,14,23,33,34,21,26,29,27,14,19
2024-02-13,15,24,34,35,22,27,30,28,15,20
2024-02-14,16,25,35,36,23,28,31,29,16,21